Марка;Модель;Цена, руб;Пробег, км;Год выпуска;Топливо;КПП;Кузов;Объём двигателя
Mercedes;E-class;1870000;103000;2012;Бензин;Вариатор;Седан;2,5
Toyota;RAV4;2 370 000 ₽;109000;2016 г.;Бензин;МКПП;Кроссовер;2.5
Toyota;Camry;3 290 000 ₽;62 000 км;2023;Бензин;Вариатор;Седан;1,4
Lada;Niva Legend;750000;80 тыс. км;2019;Бензин;МКПП;Внедорожник;1.2
Mitsubishi;Outlander;2 030 000 руб.;151 тыс. км;2017;Бензин;автомат;Кроссовер;1.4
Skoda;Octavia;2080000;84000;2022;Бензин;автомат;Седан;2,5
Renault;Duster;1210000;107000;2015 г.;Электро;Вариатор;Кроссовер;—
Haval;Jolion;1460000;65000;2020;Бензин;автомат;Кроссовер;1,6
Skoda;Karoq;2 320 000 ₽;110000;2021 г.;Бензин;МКПП;Кроссовер;1,4
Volkswagen;Polo;1 430 000 ₽;96 000 км;2017;Бензин;Робот;Седан;1.2
BMW;3 series;1 440 000 ₽;189000;2012;Бензин;Робот;Седан;1.6
Mazda;CX-5;2 000 000 руб.;180 000 км;2017;Бензин;автомат;Кроссовер;1.4
Kia;K5;1 510 000 ₽;196 тыс. км;17;Бензин;МКПП;Седан;2,0
Toyota;Camry;2490000;75 000 км;2020 г.;Гибрид;АКПП;Седан;1,6
Geely;Coolray;1 500 000 ₽;165 тыс. км;2019;Бензин;МКПП;Кроссовер;2.5
Hyundai;Solaris;1 460 000 ₽;119000;2020;Бензин;Вариатор;Седан;1.8
Hyundai;Creta;1 400 000 ₽;114 000 км;2017;Бензин;Вариатор;Кроссовер;1,4
Lada;Granta;480000;188000;2014 г.;Бензин;автомат;Седан;2,0
Chery;Tiggo 4;1 730 000 ₽;40000;2022;Бензин;Робот;Кроссовер;1.8
Toyota;Corolla;1 630 000 ₽;155 000 км;2018;Бензин;МКПП;Седан;1,4
Toyota;RAV4;2 960 000;124 тыс. км;2020 г.;Бензин;Робот;Кроссовер;2.5
Kia;K5;2 350 000 ₽;61 тыс. км;2022 г.;Бензин;АКПП;Седан;1,2
Lada;Vesta;1 520 000 ₽;75 тыс. км;2022;Бензин;АКПП;Седан;2.5
Mazda;CX-5;1 240 000 ₽;256000;2013 г.;Бензин;МКПП;Кроссовер;2.0
Toyota;RAV4;3550000;32000;2022;Бензин;МКПП;Кроссовер;2,0
Nissan;Qashqai;1420000;206000;17;Бензин;АКПП;Кроссовер;1,4
Toyota;RAV4;1 870 000 ₽;192 000 км;13;Электро;АКПП;Кроссовер;—
Toyota;RAV4;2 070 000 руб.;132000;2016;Бензин;автомат;Кроссовер;2,5
Mazda;CX-5;1820000;205 000 км;2017;Дизель;АКПП;Кроссовер;1,6
Renault;Logan;850 000 ₽;94000;2017 г.;Бензин;автомат;Седан;1,8
Toyota;Corolla;930 000 ₽;177000;2012;Электро;АКПП;Седан;—
Kia;Rio;610 000 ₽;260 000 км;2013;Бензин;МКПП;Седан;1.2
Chery;Tiggo 4;1 320 000 руб.;155 тыс. км;2019 г.;Бензин;МКПП;Кроссовер;1,2
Hyundai;Creta;1 410 000 руб.;188000;2018;Дизель;автомат;Кроссовер;1,2
Renault;Duster;1 280 000 руб.;126000;2015;Бензин;АКПП;Кроссовер;1.2
Chery;Tiggo 4;1 700 000 ₽;64000;2020;Бензин;автомат;Кроссовер;1.6
Geely;Coolray;1 890 000 ₽;37 000 км;2023;Дизель;автомат;Кроссовер;1,6
Renault;Duster;1 490 000 ₽;129000;2017 г.;Бензин;АКПП;Кроссовер;2,0
Audi;A4;3 000 000 ₽;51 тыс. км;2021;Гибрид;Вариатор;Седан;1.6
Audi;A4;2390000;112 тыс. км;2017;Бензин;автомат;Седан;1.4
Lada;Vesta;1 300 000 ₽;65000;2022;Бензин;Вариатор;Седан;1.8
Nissan;Qashqai;2020000;143 000 км;2019 г.;Бензин;МКПП;Кроссовер;2,5
Haval;Jolion;1630000;92 тыс. км;2021;Бензин;автомат;Кроссовер;1,2
Mercedes;E-class;3 570 000 руб.;61 тыс. км;2020 г.;Бензин;Вариатор;Седан;1,4
Haval;Jolion;2 220 000 руб.;32000;2023 г.;Бензин;АКПП;Кроссовер;1,8
Audi;A4;2420000;166 тыс. км;2019;Гибрид;Вариатор;Седан;1.8
Kia;K5;2820000;43 000 км;2023;Бензин;МКПП;Седан;1.6
Lada;Vesta;1 120 000 ₽;81 000 км;2019;Бензин;МКПП;Седан;1,4
Lada;Granta;850000;74 тыс. км;2021 г.;Бензин;МКПП;Седан;1.8
Volkswagen;Polo;1 470 000 руб.;49 тыс. км;2019;Бензин;Вариатор;Седан;1.8
Hyundai;Tucson;2 450 000;91 тыс. км;2020;Бензин;Робот;Кроссовер;1.8
Volkswagen;Polo;1 450 000 ₽;82 000 км;2021;Бензин;АКПП;Седан;1.4
Lada;Granta;930 000 ₽;82 тыс. км;2019;Бензин;Вариатор;Седан;1.2
Toyota;RAV4;3080000;23 000 км;23;Бензин;АКПП;Кроссовер;1.2
Skoda;Octavia;1 230 000 ₽;200 000 км;2016;Бензин;Вариатор;Седан;2.5
Lada;Vesta;1550000;54 000 км;2022;Бензин;АКПП;Седан;2.5
